[[-0.0476562,-0.00937499]; [-0.0476562,-0.00874999]; [-0.046875,-0.00937499]; [-0.046875,-0.00874999]; ]
[[-0.0476562,-0.00999999]; [-0.0476562,-0.00937499]; [-0.046875,-0.00999999]; [-0.046875,-0.00937499]; ]
[[-0.0476562,-0.00812499]; [-0.0476562,-0.00749999]; [-0.046875,-0.00812499]; [-0.046875,-0.00749999]; ]
[[-0.0476562,-0.00874999]; [-0.0476562,-0.00812499]; [-0.046875,-0.00874999]; [-0.046875,-0.00812499]; ]
[[0.046875,0.00812501]; [0.046875,0.00875001]; [0.0476563,0.00812501]; [0.0476563,0.00875001]; ]
[[0.046875,0.00750001]; [0.046875,0.00812501]; [0.0476563,0.00750001]; [0.0476563,0.00812501]; ]
[[0.046875,0.00937501]; [0.046875,0.0100001]; [0.0476563,0.00937501]; [0.0476563,0.0100001]; ]
[[0.046875,0.00875001]; [0.046875,0.00937501]; [0.0476563,0.00875001]; [0.0476563,0.00937501]; ]
[[-0.0476562,-0.00937499]; [-0.0476562,-0.00874999]; [-0.046875,-0.00937499]; [-0.046875,-0.00874999]; ]
[[-0.0476562,-0.00999999]; [-0.0476562,-0.00937499]; [-0.046875,-0.00999999]; [-0.046875,-0.00937499]; ]
[[-0.0476562,-0.00812499]; [-0.0476562,-0.00749999]; [-0.046875,-0.00812499]; [-0.046875,-0.00749999]; ]
[[-0.0476562,-0.00874999]; [-0.0476562,-0.00812499]; [-0.046875,-0.00874999]; [-0.046875,-0.00812499]; ]
[[0.046875,0.00812501]; [0.046875,0.00875001]; [0.0476563,0.00812501]; [0.0476563,0.00875001]; ]
[[0.046875,0.00750001]; [0.046875,0.00812501]; [0.0476563,0.00750001]; [0.0476563,0.00812501]; ]
[[0.046875,0.00937501]; [0.046875,0.0100001]; [0.0476563,0.00937501]; [0.0476563,0.0100001]; ]
[[0.046875,0.00875001]; [0.046875,0.00937501]; [0.0476563,0.00875001]; [0.0476563,0.00937501]; ]
[[-0.0476562,-0.00937499]; [-0.0476562,-0.00874999]; [-0.046875,-0.00937499]; [-0.046875,-0.00874999]; ]
[[-0.0476562,-0.00999999]; [-0.0476562,-0.00937499]; [-0.046875,-0.00999999]; [-0.046875,-0.00937499]; ]
[[-0.0476562,-0.00812499]; [-0.0476562,-0.00749999]; [-0.046875,-0.00812499]; [-0.046875,-0.00749999]; ]
[[-0.0476562,-0.00874999]; [-0.0476562,-0.00812499]; [-0.046875,-0.00874999]; [-0.046875,-0.00812499]; ]
[[0.046875,0.00812501]; [0.046875,0.00875001]; [0.0476563,0.00812501]; [0.0476563,0.00875001]; ]
[[0.046875,0.00750001]; [0.046875,0.00812501]; [0.0476563,0.00750001]; [0.0476563,0.00812501]; ]
[[0.046875,0.00937501]; [0.046875,0.0100001]; [0.0476563,0.00937501]; [0.0476563,0.0100001]; ]
[[0.046875,0.00875001]; [0.046875,0.00937501]; [0.0476563,0.00875001]; [0.0476563,0.00937501]; ]
[[-0.0476562,-0.00937499]; [-0.0476562,-0.00874999]; [-0.046875,-0.00937499]; [-0.046875,-0.00874999]; ]
[[-0.0476562,-0.00999999]; [-0.0476562,-0.00937499]; [-0.046875,-0.00999999]; [-0.046875,-0.00937499]; ]
[[-0.0476562,-0.00812499]; [-0.0476562,-0.00749999]; [-0.046875,-0.00812499]; [-0.046875,-0.00749999]; ]
[[-0.0476562,-0.00874999]; [-0.0476562,-0.00812499]; [-0.046875,-0.00874999]; [-0.046875,-0.00812499]; ]
[[0.046875,0.00812501]; [0.046875,0.00875001]; [0.0476563,0.00812501]; [0.0476563,0.00875001]; ]
[[0.046875,0.00750001]; [0.046875,0.00812501]; [0.0476563,0.00750001]; [0.0476563,0.00812501]; ]
[[0.046875,0.00937501]; [0.046875,0.0100001]; [0.0476563,0.00937501]; [0.0476563,0.0100001]; ]
[[0.046875,0.00875001]; [0.046875,0.00937501]; [0.0476563,0.00875001]; [0.0476563,0.00937501]; ]
